nombre_lugar,tipo_experiencia,rating,direccion,Reviews
Rica Pancita Anita,Mexicana,4.6,"Buen Tono 26, Colonia Centro, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX",589
Restaurante El Estanquillo El 32,Mexicana,4.7,"Calle Dr. Enrique Gonzalez Martinez 32, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX",11
Cantina Cuchilleros,Mexicana,4.5,"Madrid 17, Cuauhtémoc, 06030 Ciudad de México, CDMX",1209
EL COMPADRE,Mexicana,4.5,"Calle Amado Nervo 56, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX",64
Quereres,Mexicana,4.9,"Calle Artículo 123 #116, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",50
El Cardenal Alameda,Mexicana,4.7,"Av. Juárez 70, Colonia Centro, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX",5950
Testal,Mexicana,4.5,"Dolores 16, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",1649
Limosneros,Mexicana,4.6,"Ignacio Allende 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX",1766
El Cardenal,Mexicana,4.6,"Calle de la Palma 23, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",10660
Mercaderes,Mexicana,4.6,"Av. 5 de Mayo 57, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",2122
El Balcón del Zócalo,Mexicana,4.6,"Av. 5 de Mayo 61, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Mexicali, CDMX",4012
EL POZOLE DE LA VECINA,Mexicana,4.6,"Cumbres de Maltrata 501, Niños Heroes de Chapultepec, Niños Héroes, Benito Juárez, 03440 Ciudad de México, CDMX",94
Hanal K'U,Mexicana,4.5,"Calle Concepción Beistegui 1407, Del Valle, Cuauhtémoc, 03100 Ciudad de México, CDMX",479
Piloncillo y Cascabel,Mexicana,4.6,"Torres Adalid 1263, Narvarte Poniente, Benito Juárez, 03020 Juarez, CDMX",1192
Fonda 99.99,Mexicana,4.5,"Moras 347, Tlacoquemecatl del Valle, Benito Juárez, 03100 Ciudad de México, CDMX",3505
Palominos,Mexicana,4.5,"Av. Insurgentes Sur 734, Col del Valle Nte, Benito Juárez, 03100 Ciudad de México, CDMX",1787
Tusta Cocina Selecta Restaurante,Mexicana,4.6,"La Morena 1054, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX",168
La Pizca Comida Mexicana & Gourmet,Mexicana,4.6,"03020 de, Nicolás San Juan 410, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX",192
Las Polas del Valle,Mexicana,4.5,"Avenida Colonia del Valle 505, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX",904
Los Volcanes,Mexicana,4.5,"Luz Saviñon 1310, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX",468
La Cocina Tradicional Mexicana,Mexicana,4.5,"Ahorro Postal 63, Postal, Benito Juárez, 03410 Ciudad de México, CDMX",104
