conteo_reviews,ambiente,recomendable,ambiente_norm,recomendable_norm
65,28.0,47.0,0.4307692307692308,0.7230769230769231
78,22.0,36.0,0.28205128205128205,0.46153846153846156
67,7.0,48.0,0.1044776119402985,0.7164179104477612
69,19.0,43.0,0.2753623188405797,0.6231884057971014
81,7.0,68.0,0.08641975308641975,0.8395061728395061
75,20.0,46.0,0.26666666666666666,0.6133333333333333
68,17.0,42.0,0.25,0.6176470588235294
83,20.0,53.0,0.24096385542168675,0.6385542168674698
86,10.0,50.0,0.11627906976744186,0.5813953488372093
59,24.0,17.0,0.4067796610169492,0.288135593220339
81,22.0,45.0,0.2716049382716049,0.5555555555555556
59,24.0,38.0,0.4067796610169492,0.6440677966101694
98,17.0,83.0,0.17346938775510204,0.8469387755102041
51,11.0,26.0,0.21568627450980393,0.5098039215686274
98,15.0,63.0,0.15306122448979592,0.6428571428571429
78,30.0,43.0,0.38461538461538464,0.5512820512820513
82,14.0,68.0,0.17073170731707318,0.8292682926829268
79,17.0,47.0,0.21518987341772153,0.5949367088607594
84,37.0,80.0,0.44047619047619047,0.9523809523809523
138,30.0,68.0,0.21739130434782608,0.4927536231884058
16,3.0,12.0,0.1875,0.75
72,13.0,44.0,0.18055555555555555,0.6111111111111112
78,16.0,65.0,0.20512820512820512,0.8333333333333334
69,18.0,61.0,0.2608695652173913,0.8840579710144928
83,20.0,49.0,0.24096385542168675,0.5903614457831325
75,19.0,42.0,0.25333333333333335,0.56
154,30.0,130.0,0.19480519480519481,0.8441558441558441
94,17.0,65.0,0.18085106382978725,0.6914893617021277
81,6.0,43.0,0.07407407407407407,0.5308641975308642
91,15.0,72.0,0.16483516483516483,0.7912087912087912
96,10.0,54.0,0.10416666666666667,0.5625
80,23.0,62.0,0.2875,0.775
67,12.0,48.0,0.1791044776119403,0.7164179104477612
81,7.0,55.0,0.08641975308641975,0.6790123456790124
64,12.0,27.0,0.1875,0.421875
70,8.0,36.0,0.11428571428571428,0.5142857142857142
73,10.0,52.0,0.136986301369863,0.7123287671232876
73,24.0,31.0,0.3287671232876712,0.4246575342465753
76,21.0,52.0,0.27631578947368424,0.6842105263157895
86,21.0,63.0,0.2441860465116279,0.7325581395348837
77,12.0,52.0,0.15584415584415584,0.6753246753246753
68,14.0,39.0,0.20588235294117646,0.5735294117647058
58,20.0,33.0,0.3448275862068966,0.5689655172413793
96,12.0,47.0,0.125,0.4895833333333333
92,21.0,62.0,0.22826086956521738,0.6739130434782609
68,17.0,47.0,0.25,0.6911764705882353
70,15.0,49.0,0.21428571428571427,0.7
68,7.0,36.0,0.10294117647058823,0.5294117647058824
77,12.0,49.0,0.15584415584415584,0.6363636363636364
70,10.0,45.0,0.14285714285714285,0.6428571428571429
99,24.0,65.0,0.24242424242424243,0.6565656565656566
65,16.0,39.0,0.24615384615384617,0.6
77,22.0,32.0,0.2857142857142857,0.4155844155844156
92,38.0,71.0,0.41304347826086957,0.7717391304347826
63,22.0,44.0,0.3492063492063492,0.6984126984126984
54,13.0,37.0,0.24074074074074073,0.6851851851851852
78,5.0,53.0,0.0641025641025641,0.6794871794871795
77,29.0,31.0,0.37662337662337664,0.4025974025974026
60,12.0,34.0,0.2,0.5666666666666667
72,20.0,59.0,0.2777777777777778,0.8194444444444444
68,21.0,46.0,0.3088235294117647,0.6764705882352942
91,11.0,35.0,0.12087912087912088,0.38461538461538464
94,22.0,71.0,0.23404255319148937,0.7553191489361702
